time,north_left,north_thru,north_right,south_left,south_thru,south_right,east_left,east_thru,east_right,west_left,west_thru,west_right,ped_ns,ped_ew
06:00,95,290,35,60,220,30,20,95,18,18,90,15,8,6
07:00,215,610,60,95,340,45,38,170,30,30,150,25,18,14
08:00,255,680,70,110,390,50,45,195,35,35,175,30,25,20
09:00,175,470,50,105,360,45,40,165,30,32,150,26,20,16
10:00,140,380,42,105,350,44,36,150,28,30,140,25,18,15
11:00,150,395,45,120,380,48,38,155,30,32,148,26,22,18
12:00,165,430,48,140,430,52,42,170,32,36,160,28,30,24
13:00,155,410,46,130,420,50,40,165,31,34,155,27,26,21
14:00,150,400,45,145,450,55,40,160,30,34,158,28,22,18
15:00,165,430,48,180,560,65,44,175,33,38,170,30,26,21
16:00,180,470,52,215,660,75,48,190,36,42,185,33,28,23
17:00,190,490,55,250,700,80,50,200,38,44,195,35,30,25
